epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,5306.92,0.9728,1.09,1.26333,0.69425,0.62364,0.67369,0.46318,1.08827,1.0623,1.216,0.002773,0.002773,0.002773
148,5342.16,0.96744,1.08957,1.2589,0.69453,0.62402,0.67412,0.46359,1.08761,1.0617,1.21521,0.0027235,0.0027235,0.0027235
149,5377.54,0.96688,1.07655,1.25885,0.69572,0.62536,0.6749,0.46408,1.08671,1.06036,1.21448,0.002674,0.002674,0.002674
150,5413.26,0.97376,1.0952,1.26239,0.69825,0.62301,0.67507,0.46467,1.08576,1.05936,1.21381,0.0026245,0.0026245,0.0026245
151,5448.97,0.96909,1.08775,1.26056,0.69926,0.62249,0.67562,0.46503,1.08509,1.05841,1.21321,0.002575,0.002575,0.002575
152,5484.46,0.96304,1.07509,1.25569,0.6999,0.62268,0.67602,0.46532,1.08449,1.05709,1.21262,0.0025255,0.0025255,0.0025255
153,5520.14,0.96559,1.07849,1.25652,0.69938,0.62268,0.67628,0.4657,1.0837,1.05641,1.2119,0.002476,0.002476,0.002476
154,5555.81,0.96406,1.07881,1.26058,0.7007,0.6223,0.67703,0.46636,1.08307,1.05565,1.21136,0.0024265,0.0024265,0.0024265
155,5591.56,0.95214,1.07229,1.25296,0.70121,0.62249,0.67743,0.46703,1.08261,1.05468,1.21117,0.002377,0.002377,0.002377
156,5627.2,0.96302,1.07521,1.25646,0.70156,0.62349,0.67779,0.46724,1.08174,1.05408,1.21064,0.0023275,0.0023275,0.0023275
157,5662.94,0.95472,1.06362,1.25156,0.70469,0.62243,0.67841,0.4679,1.08089,1.05345,1.21005,0.002278,0.002278,0.002278
158,5698.69,0.95552,1.07164,1.2555,0.70434,0.6232,0.67888,0.4684,1.08038,1.05245,1.20964,0.0022285,0.0022285,0.0022285
159,5734.16,0.95202,1.05625,1.25058,0.70404,0.62517,0.67929,0.46899,1.07948,1.05112,1.20914,0.002179,0.002179,0.002179
160,5770.08,0.9645,1.06468,1.25507,0.70599,0.6244,0.67954,0.4693,1.0792,1.05022,1.20904,0.0021295,0.0021295,0.0021295
161,5806.57,0.95244,1.0586,1.24756,0.70537,0.62539,0.68013,0.46992,1.07856,1.04962,1.20842,0.00208,0.00208,0.00208
162,5842.49,0.94421,1.05583,1.2448,0.71152,0.6202,0.6805,0.4704,1.07777,1.0488,1.2079,0.0020305,0.0020305,0.0020305
163,5878.43,0.94972,1.05509,1.2474,0.72262,0.61428,0.68067,0.47057,1.07691,1.04782,1.20716,0.001981,0.001981,0.001981
164,5914.38,0.94184,1.04918,1.2454,0.72304,0.61415,0.68094,0.47118,1.07637,1.04678,1.20656,0.0019315,0.0019315,0.0019315
165,5950.38,0.94435,1.04687,1.2429,0.725,0.61409,0.68101,0.4714,1.0759,1.04574,1.20605,0.001882,0.001882,0.001882
166,5985.67,0.94264,1.04571,1.24743,0.72327,0.61437,0.68138,0.47183,1.0749,1.04498,1.20527,0.0018325,0.0018325,0.0018325
167,6021.23,0.93988,1.04448,1.24131,0.72318,0.61371,0.68188,0.47226,1.07478,1.04408,1.205,0.001783,0.001783,0.001783
168,6056.84,0.9361,1.03792,1.24227,0.72656,0.6118,0.68263,0.47301,1.07444,1.04314,1.20463,0.0017335,0.0017335,0.0017335
