epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3594.65,0.99932,1.13393,1.2608,0.70893,0.61524,0.67025,0.45675,1.08959,1.08247,1.18856,0.0039115,0.0039115,0.0039115
125,3621.48,0.9874,1.134,1.25706,0.71254,0.61447,0.67136,0.45725,1.08869,1.08124,1.18772,0.003862,0.003862,0.003862
126,3652.09,0.99211,1.13183,1.25819,0.7119,0.61447,0.67192,0.45799,1.08776,1.07922,1.1866,0.0038125,0.0038125,0.0038125
127,3679.21,0.99956,1.12259,1.25765,0.70859,0.61848,0.67218,0.45879,1.08688,1.07758,1.18604,0.003763,0.003763,0.003763
128,3709.63,0.99188,1.12432,1.25501,0.71156,0.61562,0.67249,0.45926,1.08538,1.0763,1.18488,0.0037135,0.0037135,0.0037135
129,3738.13,0.99009,1.12891,1.25271,0.71177,0.61409,0.67327,0.46003,1.08469,1.07539,1.18427,0.003664,0.003664,0.003664
130,3766.33,0.98205,1.10626,1.24336,0.71292,0.61597,0.67337,0.46042,1.08416,1.07388,1.18369,0.0036145,0.0036145,0.0036145
131,3795.01,0.98577,1.1085,1.25105,0.70979,0.61772,0.67379,0.46141,1.08372,1.07271,1.18321,0.003565,0.003565,0.003565
132,3822.99,0.98946,1.11309,1.25033,0.71216,0.616,0.67415,0.4615,1.08295,1.07146,1.18232,0.0035155,0.0035155,0.0035155
133,3850.31,0.97,1.10735,1.24447,0.71229,0.61598,0.67459,0.46202,1.08223,1.0706,1.18126,0.003466,0.003466,0.003466
134,3878.16,0.97674,1.10698,1.24474,0.71253,0.61953,0.67506,0.46272,1.08136,1.06952,1.18055,0.0034165,0.0034165,0.0034165
135,3907.3,0.97852,1.10797,1.24681,0.71261,0.61982,0.67596,0.46317,1.08027,1.06814,1.17985,0.003367,0.003367,0.003367
136,3934.45,0.96666,1.09598,1.24155,0.71289,0.6211,0.67662,0.4637,1.0797,1.06732,1.17942,0.0033175,0.0033175,0.0033175
137,3962.21,0.97346,1.09007,1.2438,0.7133,0.62097,0.6768,0.46396,1.07913,1.06628,1.17898,0.003268,0.003268,0.003268
138,3992.33,0.98041,1.10595,1.24573,0.71155,0.62271,0.67734,0.46458,1.07863,1.06559,1.17843,0.0032185,0.0032185,0.0032185
139,4020.21,0.96721,1.10231,1.24078,0.71389,0.62224,0.67825,0.46452,1.07852,1.06409,1.17812,0.003169,0.003169,0.003169
140,4049.09,0.97012,1.08907,1.23938,0.7135,0.62106,0.67827,0.46521,1.07767,1.06277,1.17734,0.0031195,0.0031195,0.0031195
141,4076.92,0.97311,1.09673,1.24261,0.71265,0.62135,0.67844,0.4656,1.07736,1.06158,1.17693,0.00307,0.00307,0.00307
142,4105.93,0.96949,1.08132,1.23927,0.71335,0.62249,0.6797,0.46644,1.07664,1.06063,1.17634,0.0030205,0.0030205,0.0030205
143,4135.51,0.96388,1.08386,1.23642,0.71403,0.62192,0.68009,0.4672,1.07649,1.05915,1.17585,0.002971,0.002971,0.002971
144,4162.56,0.96315,1.07884,1.23349,0.71316,0.62268,0.68028,0.46765,1.07598,1.05844,1.17545,0.0029215,0.0029215,0.0029215
145,4189.75,0.95146,1.07931,1.23383,0.71168,0.62405,0.68048,0.46805,1.07577,1.05752,1.17488,0.002872,0.002872,0.002872
146,4216.89,0.96161,1.07468,1.23497,0.71314,0.62479,0.68101,0.46859,1.07577,1.05636,1.17461,0.0028225,0.0028225,0.0028225
147,4243.84,0.95632,1.07289,1.22957,0.71534,0.62383,0.68146,0.46935,1.07565,1.05528,1.17469,0.002773,0.002773,0.002773
148,4272.4,0.95184,1.07447,1.22524,0.71653,0.62312,0.68201,0.4695,1.07544,1.05428,1.17447,0.0027235,0.0027235,0.0027235
149,4301.74,0.95212,1.05593,1.2254,0.71643,0.62574,0.68259,0.46959,1.07516,1.05322,1.17424,0.002674,0.002674,0.002674
150,4330.13,0.95909,1.06802,1.22947,0.71665,0.62593,0.68309,0.47022,1.07419,1.05243,1.17317,0.0026245,0.0026245,0.0026245
151,4357.87,0.95658,1.06642,1.22814,0.71873,0.62747,0.68348,0.47044,1.07375,1.05163,1.17274,0.002575,0.002575,0.002575
152,4385.07,0.94724,1.05671,1.22424,0.71979,0.62784,0.6837,0.47084,1.07354,1.05035,1.17244,0.0025255,0.0025255,0.0025255
153,4412.28,0.95084,1.05738,1.22657,0.71827,0.62803,0.68391,0.47092,1.07326,1.04958,1.17204,0.002476,0.002476,0.002476
154,4441.23,0.95132,1.06274,1.22888,0.7214,0.62689,0.68415,0.47118,1.07254,1.0485,1.17146,0.0024265,0.0024265,0.0024265
155,4470.05,0.9367,1.05259,1.22069,0.72397,0.62536,0.68468,0.47147,1.07213,1.04718,1.17093,0.002377,0.002377,0.002377
156,4497.26,0.94872,1.05235,1.22235,0.7253,0.62568,0.68511,0.47152,1.0715,1.04629,1.17011,0.0023275,0.0023275,0.0023275
157,4527.71,0.94103,1.04508,1.21838,0.72599,0.62746,0.68551,0.47214,1.07105,1.04522,1.16968,0.002278,0.002278,0.002278
158,4555.2,0.9477,1.05016,1.2275,0.72526,0.62857,0.68625,0.47258,1.07084,1.04429,1.1693,0.0022285,0.0022285,0.0022285
159,4584.94,0.93947,1.03843,1.21849,0.72601,0.62937,0.68655,0.47309,1.07029,1.04328,1.16874,0.002179,0.002179,0.002179
160,4614.34,0.94359,1.04538,1.22008,0.72498,0.6307,0.68719,0.47314,1.06969,1.04257,1.16809,0.0021295,0.0021295,0.0021295
161,4643.46,0.94202,1.03942,1.21809,0.72498,0.63273,0.68794,0.47345,1.06929,1.04189,1.16755,0.00208,0.00208,0.00208
162,4671.71,0.93323,1.0395,1.21534,0.7234,0.63523,0.68832,0.47387,1.06886,1.04058,1.16712,0.0020305,0.0020305,0.0020305
163,4701.03,0.93692,1.03194,1.21741,0.72672,0.63376,0.6889,0.47452,1.06853,1.03979,1.16669,0.001981,0.001981,0.001981
164,4729.38,0.93134,1.03128,1.21306,0.72494,0.63512,0.68883,0.47477,1.06872,1.03913,1.16675,0.0019315,0.0019315,0.0019315
165,4757.67,0.93298,1.02582,1.21422,0.72428,0.63567,0.68901,0.47492,1.06836,1.03869,1.16622,0.001882,0.001882,0.001882
166,4789.3,0.92872,1.02629,1.21793,0.72683,0.63406,0.68898,0.47522,1.06811,1.03813,1.16599,0.0018325,0.0018325,0.0018325
167,4816.72,0.92553,1.02369,1.20889,0.72711,0.63319,0.68944,0.47523,1.06787,1.03735,1.16565,0.001783,0.001783,0.001783
168,4843.88,0.92316,1.01839,1.21078,0.72295,0.63643,0.68993,0.47558,1.06773,1.03659,1.16547,0.0017335,0.0017335,0.0017335
169,4872.55,0.93057,1.02313,1.21303,0.72683,0.63491,0.69045,0.47621,1.0673,1.03595,1.16507,0.001684,0.001684,0.001684
170,4900.43,0.9166,1.01561,1.20506,0.72464,0.63666,0.69053,0.47643,1.06724,1.03535,1.16508,0.0016345,0.0016345,0.0016345
171,4928.44,0.92208,1.01613,1.20415,0.72531,0.63643,0.69094,0.47682,1.06658,1.03481,1.16444,0.001585,0.001585,0.001585
172,4956.98,0.92121,1.01598,1.20487,0.71942,0.64006,0.69132,0.47689,1.06627,1.03413,1.16397,0.0015355,0.0015355,0.0015355
173,4985.38,0.91811,1.01597,1.20676,0.71984,0.64063,0.69166,0.47738,1.06619,1.03334,1.16403,0.001486,0.001486,0.001486
174,5012.05,0.91506,1.00511,1.20206,0.72022,0.64148,0.69234,0.47799,1.0654,1.03296,1.16344,0.0014365,0.0014365,0.0014365
175,5038.58,0.91573,1.00335,1.19959,0.72418,0.63834,0.69268,0.47832,1.06523,1.03215,1.16327,0.001387,0.001387,0.001387
176,5065.56,0.91856,1.00889,1.20301,0.72258,0.64011,0.69282,0.47847,1.06496,1.03142,1.16302,0.0013375,0.0013375,0.0013375
177,5092.88,0.91449,1.00393,1.20335,0.72482,0.63815,0.69261,0.47857,1.06436,1.0307,1.1625,0.001288,0.001288,0.001288
178,5121.83,0.9171,1.00221,1.20053,0.72573,0.63777,0.69296,0.47876,1.06411,1.02993,1.16208,0.0012385,0.0012385,0.0012385
179,5148.64,0.91153,1.00043,1.19775,0.7266,0.63643,0.69294,0.47904,1.06397,1.02917,1.16174,0.001189,0.001189,0.001189
180,5176.14,inf,0.9876,1.19887,0.7266,0.63687,0.69343,0.47949,1.06345,1.02818,1.16131,0.0011395,0.0011395,0.0011395
181,5202.72,0.9036,0.98127,1.19171,0.72749,0.63771,0.69344,0.47978,1.06291,1.02702,1.16072,0.00109,0.00109,0.00109
182,5231.57,0.91279,1.00609,1.19861,0.72722,0.63889,0.69378,0.48002,1.06216,1.02645,1.15995,0.0010405,0.0010405,0.0010405
183,5261.71,0.90921,0.99289,1.19581,0.72808,0.63968,0.69407,0.4804,1.06179,1.02537,1.15973,0.000991,0.000991,0.000991
